category,signal_ttH_tH,resonant_higgs_background,nti_continuum_proxy,total_background,total_model_yield,S/B,S/sqrt(B),expected_counting_Z
ttH_had_BDT1,1.6128204988655588,0.07495496591735273,1.807999111111111,1.8829540770284636,3.495774575894022,0.8565373518884702,1.1753471823975021,1.0488670789584347
ttH_had_BDT2,1.1873006317067865,0.17566777843829123,2.6500808888888887,2.82574866732718,4.013049299033966,0.4201720575630071,0.7063076874635434,0.6639109910301504
ttH_had_BDT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttH_had_BDT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tH_had_4j1b,1.6636606333049557,1.0166240184643598,14.620025688888886,15.636649707353245,17.3003103406582,0.10639495444619493,0.42071973722943945,0.4135718172238346
tH_had_4j2b,0.25495145579514406,0.1497974196455356,1.5281307555555552,1.6779281752010908,1.9328796309962348,0.15194420092778374,0.19682071848809096,0.19212777701662612
unassigned,3.132278169635427,3.606545164815352,48.486573422222214,52.093118587037566,55.22539675667299,0.060128444113054846,0.4339804291318509,0.42973680288276134
