event_id,process,sample,is_data,m_gammagamma,diphoton_ti,diphoton_region,channel,n_leptons,partition,event_weight_signed,observed_data_weight,n_jets,n_central_jets,n_forward_jets,n_bjets,leading_jet_pt,subleading_jet_pt,ht_jets,training_role,nti_proxy_weight,significance_model_weight_36fb,label,physical_training_weight,bdt_fit_weight
ggH:284500:4555630:0:1,ggH,ggH,False,124.90852607296456,True,TI,hadronic,0,validation,0.022072388657575374,0.0,3,3,0,1,86.98810577392578,42.06332778930664,155.50250434875488,background_ggH_or_NTI,0.0,0.022072388657575374,0,0.022072388657575374,0.022072388657575374
ggH:284500:4562805:0:3,ggH,ggH,False,126.01751019170895,True,TI,hadronic,0,train,0.023968876045891922,0.0,3,3,0,1,31.052597045898438,29.079381942749023,87.7805347442627,background_ggH_or_NTI,0.0,0.023968876045891922,0,0.023968876045891922,0.023968876045891922
ggH:284500:4555894:0:4,ggH,ggH,False,123.04754008998827,True,TI,hadronic,0,test,0.01910144711220084,0.0,3,3,0,2,130.3124237060547,71.57191467285156,235.20146942138672,background_ggH_or_NTI,0.0,0.01910144711220084,0,0.01910144711220084,0.01910144711220084
ggH:284500:4563517:0:7,ggH,ggH,False,124.47244928912852,True,TI,hadronic,0,validation,0.019428298351003386,0.0,3,3,0,2,84.7762222290039,59.88294982910156,197.26718139648438,background_ggH_or_NTI,0.0,0.019428298351003386,0,0.019428298351003386,0.019428298351003386
ggH:284500:4386969:0:8,ggH,ggH,False,123.0528709047864,True,TI,hadronic,0,train,0.012934096222201028,0.0,3,3,0,1,57.79659652709961,41.10299301147461,127.03976249694824,background_ggH_or_NTI,0.0,0.012934096222201028,0,0.012934096222201028,0.012934096222201028
ggH:284500:3892605:0:11,ggH,ggH,False,124.4795202852472,True,TI,hadronic,0,train,0.027609385375584307,0.0,3,3,0,1,175.3018035888672,44.74028396606445,245.32184410095215,background_ggH_or_NTI,0.0,0.027609385375584307,0,0.027609385375584307,0.027609385375584307
ggH:284500:4999695:0:15,ggH,ggH,False,123.94089612160752,True,TI,hadronic,0,train,0.020216895175003625,0.0,3,3,0,1,164.1785888671875,25.798608779907227,215.37521362304688,background_ggH_or_NTI,0.0,0.020216895175003625,0,0.020216895175003625,0.020216895175003625
ggH:284500:4388627:0:16,ggH,ggH,False,126.12010831718065,True,TI,hadronic,0,validation,0.019661596201698852,0.0,3,3,0,1,102.58453369140625,56.71668243408203,188.10272598266602,background_ggH_or_NTI,0.0,0.019661596201698852,0,0.019661596201698852,0.019661596201698852
ggH:284500:4879879:0:17,ggH,ggH,False,125.61012745427135,True,TI,hadronic,0,train,0.022456467422529675,0.0,3,3,0,1,68.93053436279297,36.94932556152344,139.43836212158203,background_ggH_or_NTI,0.0,0.022456467422529675,0,0.022456467422529675,0.022456467422529675
ggH:284500:2328593:0:18,ggH,ggH,False,124.00377310854974,True,TI,hadronic,0,validation,0.019508879039060754,0.0,4,4,0,1,247.81784057617188,56.58293151855469,383.6779727935791,background_ggH_or_NTI,0.0,0.019508879039060754,0,0.019508879039060754,0.019508879039060754
ggH:284500:2435227:0:19,ggH,ggH,False,124.45807395621989,True,TI,hadronic,0,train,-0.019211277177239288,0.0,3,3,0,1,288.0926818847656,34.88398742675781,351.31739616394043,background_ggH_or_NTI,0.0,-0.019211277177239288,0,0.019211277177239288,0.019211277177239288
ggH:284500:2434651:0:22,ggH,ggH,False,126.5129060337686,True,TI,hadronic,0,train,0.02015684749078939,0.0,3,3,0,1,288.4097900390625,64.66352844238281,379.03065299987793,background_ggH_or_NTI,0.0,0.02015684749078939,0,0.02015684749078939,0.02015684749078939
ggH:284500:2207012:0:23,ggH,ggH,False,124.7480920317,True,TI,hadronic,0,train,0.020614324759573862,0.0,4,4,0,1,115.52714538574219,65.34226989746094,244.1102752685547,background_ggH_or_NTI,0.0,0.020614324759573862,0,0.020614324759573862,0.020614324759573862
ggH:284500:412898:0:24,ggH,ggH,False,124.82982246961934,True,TI,hadronic,0,train,0.012316520321421892,0.0,3,3,0,1,262.8751525878906,54.00309371948242,349.75572967529297,background_ggH_or_NTI,0.0,0.012316520321421892,0,0.012316520321421892,0.012316520321421892
ggH:284500:2206734:0:25,ggH,ggH,False,126.5552688918737,True,TI,hadronic,0,train,0.020218680492671844,0.0,3,3,0,1,151.36160278320312,128.58399963378906,321.8646240234375,background_ggH_or_NTI,0.0,0.020218680492671844,0,0.020218680492671844,0.020218680492671844
ggH:284500:412969:0:27,ggH,ggH,False,126.32525009496638,True,TI,hadronic,0,validation,0.020627628605331877,0.0,3,3,0,1,43.64521789550781,40.91650390625,110.1046142578125,background_ggH_or_NTI,0.0,0.020627628605331877,0,0.020627628605331877,0.020627628605331877
ggH:284500:2118598:0:31,ggH,ggH,False,123.62341040060585,True,TI,hadronic,0,validation,0.017316922292038885,0.0,5,5,0,1,104.77054595947266,68.45807647705078,263.45320892333984,background_ggH_or_NTI,0.0,0.017316922292038885,0,0.017316922292038885,0.017316922292038885
ggH:284500:414457:0:33,ggH,ggH,False,124.11474499115673,True,TI,hadronic,0,train,0.0201132874386054,0.0,3,3,0,1,103.39700317382812,59.818477630615234,208.47693252563477,background_ggH_or_NTI,0.0,0.0201132874386054,0,0.0201132874386054,0.0201132874386054
ggH:284500:2122439:0:34,ggH,ggH,False,123.33027844624499,True,TI,hadronic,0,test,0.020127759995656778,0.0,6,6,0,1,165.20111083984375,159.83547973632812,490.4876346588135,background_ggH_or_NTI,0.0,0.020127759995656778,0,0.020127759995656778,0.020127759995656778
ggH:284500:2123689:0:35,ggH,ggH,False,126.43523900780988,True,TI,hadronic,0,validation,0.019026097324371615,0.0,3,3,0,1,210.00848388671875,60.867271423339844,313.77506256103516,background_ggH_or_NTI,0.0,0.019026097324371615,0,0.019026097324371615,0.019026097324371615
ggH:284500:2108851:0:36,ggH,ggH,False,126.67288862162054,True,TI,hadronic,0,train,0.012686189114264276,0.0,4,4,0,1,108.77295684814453,92.03214263916016,283.02225494384766,background_ggH_or_NTI,0.0,0.012686189114264276,0,0.012686189114264276,0.012686189114264276
