category,signal_ttH_tH,resonant_higgs_background,nti_continuum_proxy,total_background,total_model_yield,S_over_B,S_over_sqrtB,expected_counting_significance,kept
ttH_had_BDT1,2.734447122675463,0.29961198854324106,4.489302243015795,4.788914231559036,7.523361354234499,0.570995217382555,1.2495424079370727,1.1523239829170213,True
ttH_had_BDT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ttH_had_BDT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ttH_had_BDT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
tH_had_4j1b,1.6582173866252714,1.0127803420335844,14.542736773317253,15.555517115350838,17.21373450197611,0.10659995256531027,0.4204353633523549,0.4132790815416694,True
tH_had_4j2b,0.37784974104730584,0.16295837960291187,1.7696959566670962,1.9326543362700082,2.310504077317314,0.19550818475721313,0.271795358649006,0.263590974496471,True
unassigned,3.055426926787314,3.5314177720876296,47.78699581811943,51.31841359020706,54.37384051699437,0.05953860832850009,0.4265159634413965,0.4223852648146787,False
