event_id,process,stable_partition,n_central_jets,n_bjets,jet1_pt,jet_ht,diphoton_pt,m_gammagamma,bdt_score,assigned_category
data:304337:304337:470370110,data,validation,3,1,69.8336410522461,124.15506744384766,28.102749,137.72348,0.10541517726676035,unassigned
data:304337:304337:475362079,data,train,3,1,68.47349548339844,165.9586181640625,117.80826,111.96777,0.44502023748679664,unassigned
data:304337:304337:484112626,data,train,3,1,277.1080017089844,437.1788330078125,62.61652,121.73043,0.2027987181866905,unassigned
data:304337:304337:498190292,data,train,5,1,135.93911743164062,317.1666259765625,85.09554,146.81735,0.7548465524928655,ttH_had_BDT2
data:304337:304337:508167579,data,test,4,1,72.2123031616211,191.11399841308594,60.457905,108.185265,0.3475849617338769,tH_had_4j1b
data:304337:304337:511398339,data,train,3,1,51.05583190917969,106.59385681152344,47.5175,147.81413,0.08641887706221146,unassigned
data:304337:304337:527476582,data,validation,3,1,122.01290130615234,210.91989135742188,159.71759,131.91336,0.5718258966791229,unassigned
data:304337:304337:529691616,data,train,3,1,95.517822265625,194.18511962890625,49.62645,118.30927,0.24950378553508815,unassigned
data:304337:304337:539238532,data,train,4,1,95.39330291748047,345.3914794921875,106.63493,116.68531,0.7702661810299767,ttH_had_BDT2
data:304337:304337:542149939,data,train,3,1,28.68671226501465,86.5593490600586,43.66924,140.31613,0.07972549507319412,unassigned
data:304337:304337:550104724,data,test,4,1,148.2532501220703,251.451416015625,84.634544,105.634834,0.4909056783713757,tH_had_4j1b
data:304337:304337:556729741,data,train,3,1,37.62711715698242,99.08428955078125,94.87959,136.82944,0.14245494814940754,unassigned
data:304337:304337:567641333,data,train,3,1,28.791603088378906,81.425537109375,34.891174,117.99156,0.07835904318220527,unassigned
data:304337:304337:572355554,data,train,5,1,66.95588684082031,198.14161682128906,57.515827,115.420044,0.4435846406939648,unassigned
data:304337:304337:581768129,data,train,3,1,125.48089599609375,202.9554901123047,63.47789,133.36317,0.24533231856662005,unassigned
data:304337:304337:586013392,data,train,4,1,146.91355895996094,242.04734802246094,164.92409,120.384346,0.6468171241426818,tH_had_4j1b
data:304337:304337:587098808,data,train,4,1,205.29196166992188,330.736572265625,49.12374,122.31478,0.3165261045185712,tH_had_4j1b
data:304337:304337:590640797,data,test,5,1,88.7840805053711,216.26980590820312,91.480705,135.21596,0.6840994468834595,ttH_had_BDT2
data:304337:304337:595031688,data,train,4,1,239.08230590820312,460.51629638671875,92.093414,129.57489,0.3782693955553898,tH_had_4j1b
data:304337:304337:602553542,data,train,3,1,56.34845733642578,116.9654541015625,77.12635,105.20917,0.11305545231878557,unassigned
data:304337:304337:608489990,data,train,4,1,133.76998901367188,240.69532775878906,72.928406,131.74075,0.4181176931987434,tH_had_4j1b
data:304337:304337:622661439,data,train,3,1,85.80619812011719,155.51124572753906,46.50613,145.12628,0.1763164192720864,unassigned
data:304337:304337:640893362,data,validation,3,1,313.9266357421875,526.1603393554688,19.427006,120.90321,0.21276783563434526,unassigned
data:304337:304337:641252471,data,train,3,1,153.51600646972656,266.97564697265625,120.19417,153.51598,0.39733983619234803,unassigned
data:304337:304337:662842664,data,validation,3,1,40.9091796875,108.00871276855469,11.732273,105.83327,0.0680750654994694,unassigned
data:304337:304337:666701616,data,train,3,1,113.69181060791016,242.08914184570312,60.341743,109.521385,0.31995692994363645,unassigned
data:304337:304337:676762504,data,train,3,1,147.4877166748047,229.66412353515625,13.0288,133.94476,0.20939731612108645,unassigned
data:304337:304337:680669724,data,train,3,1,188.54837036132812,274.25775146484375,94.84707,111.09241,0.26478263648824846,unassigned
data:304337:304337:701848781,data,train,3,1,71.52298736572266,132.78274536132812,114.92366,115.1113,0.3637310330780905,unassigned
data:304337:304337:702430774,data,train,4,1,106.83940124511719,295.97149658203125,69.27174,140.52312,0.5663577111226544,tH_had_4j1b
data:304337:304337:703507690,data,train,3,1,268.1500244140625,362.04083251953125,171.09863,142.08052,0.32961545029359063,unassigned
data:304337:304337:705400713,data,train,6,1,191.0504150390625,427.45794677734375,59.26315,148.19272,0.6824684621730007,ttH_had_BDT2
data:304337:304337:721195890,data,train,3,1,50.385284423828125,139.50979614257812,33.060516,130.99702,0.11144017012041825,unassigned
data:304337:304337:739711161,data,validation,3,1,210.777587890625,377.8422546386719,69.46472,125.927475,0.21774320024062346,unassigned
data:304337:304337:741290183,data,train,4,1,146.76649475097656,375.77301025390625,109.69988,118.05834,0.6926650115009745,ttH_had_BDT2
data:304337:304337:743498376,data,test,3,1,97.40658569335938,224.0655059814453,83.770775,127.60907,0.39608708457807795,unassigned
data:304337:304337:748836298,data,train,4,1,100.43158721923828,249.90316772460938,43.07086,126.665665,0.45909201908373315,tH_had_4j1b
data:304337:304337:762909249,data,train,3,1,30.745237350463867,89.55007934570312,20.329937,145.66805,0.0680750654994694,unassigned
data:304337:304337:763014522,data,train,3,1,137.68251037597656,201.127197265625,114.770226,138.4654,0.32861276482898844,unassigned
data:304337:304337:770923202,data,validation,6,1,201.4183807373047,634.8143920898438,14.520453,149.96252,0.531067912570034,unassigned
data:304337:304337:772401991,data,validation,3,1,35.79001998901367,98.21040344238281,53.23412,150.0855,0.07972549507319412,unassigned
data:304337:304337:780898538,data,train,3,1,157.7342529296875,238.32135009765625,113.80879,119.98511,0.302802256440817,unassigned
