category,kept,signal_ttH_tH,resonant_higgs_background,nti_continuum_proxy,total_background,total_model_yield,S_over_B,S_over_sqrt_B,expected_counting_significance
ttH_had_BDT1,True,1.4643657474274487,0.2743125865844662,0.8005325932772789,1.074845179861745,2.5392109272891936,1.3623969059579415,1.4124614555753177,1.1987784024955592
ttH_had_BDT2,True,3.2801305337154876,1.562637917757038,6.861707942376676,8.424345860133714,11.704476393849202,0.3893632322526018,1.1301160236090424,1.0666154680050541
ttH_had_BDT3,False,0.0,0.0,0.0,0.0,0.0,,,0.0
ttH_had_BDT4,False,0.0,0.0,0.0,0.0,0.0,,,0.0
tH_had_4j1b,True,0.9821995667587872,0.5430630530498249,13.25557216140949,13.798635214459313,14.7808347812181,0.0711809212645581,0.26441231065807114,0.26136498793102575
tH_had_4j2b,True,0.1267910404641599,0.05629175942087184,1.2163936806940472,1.272685440114919,1.399476480579079,0.09962480630933525,0.11239009230355236,0.11059739986432109
unassigned,True,2.014256663628844,2.673181285465233,46.39710169672956,49.07028298219479,51.08453964582363,0.041048401215858475,0.2875448063873755,0.28561049869306127
