category,signal_ttH_tH,resonant_higgs,nti_continuum_proxy,total_background,total_model_yield,s_over_b,s_over_sqrt_b,expected_counting_z,kept
ttH_had_BDT1,2.1933032314719982,0.16645047553440964,2.708295331801703,2.874745807336113,5.068049038808111,0.7629555371034441,1.2935968634000463,1.1663948070515602,True
ttH_had_BDT2,2.9436385721369565,0.9112384286229955,13.260770425002198,14.172008853625194,17.11564742576215,0.2077079264160899,0.7819316235688303,0.7569673620016205,True
ttH_had_BDT3,1.5304655269558536,1.4056949963551397,17.406385640188105,18.812080636543246,20.3425461634991,0.08135546282864962,0.35286219872463903,0.34823289879348795,True
ttH_had_BDT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
tH_had_4j1b,0.13294967192299018,0.271297742038901,3.4178583122065644,3.6891560542454656,3.8221057261684557,0.03603796368819699,0.06921875070469288,0.06880912137165181,True
tH_had_4j2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
unassigned,1.0252206123272063,2.252125553663383,31.737998365288476,33.99012391895186,35.01534453127906,0.030162308756855532,0.17584942608068327,0.17497634987624194,True
