,,1,2
triplet_pt,count,1733.0,488.0
triplet_pt,mean,120.26395978756942,136.06142861141583
triplet_pt,std,83.54908318347248,87.32181123219264
triplet_pt,min,0.91454438365303,4.657255991464502
triplet_pt,25%,61.104244619021124,72.72445357855602
triplet_pt,50%,102.7261307393259,123.868253846709
triplet_pt,75%,157.36597984905794,180.35067425351076
triplet_pt,max,683.4763756908997,702.022516538221
triplet_eta,count,1733.0,488.0
triplet_eta,mean,-0.037069677097456455,0.07222885585173958
triplet_eta,std,1.7660599493844784,1.663807912352643
triplet_eta,min,-5.340087333099784,-4.425618766600361
triplet_eta,25%,-1.46200184637549,-1.3336482361344453
triplet_eta,50%,-0.1319668434224132,0.20858083463670582
triplet_eta,75%,1.4043302398126403,1.4805477337816226
triplet_eta,max,5.801234250968884,4.998089831376065
triplet_mass,count,1733.0,488.0
triplet_mass,mean,199.0019714178584,241.35665731397705
triplet_mass,std,125.19206049759144,167.2971620393122
triplet_mass,min,58.46788480557635,59.374535087974266
triplet_mass,25%,155.677600243837,151.98529350435575
triplet_mass,50%,170.544097196351,183.49097890878846
triplet_mass,75%,205.51222275990716,267.4687639874494
triplet_mass,max,3782.395170570036,1391.2929740807904
score,count,1733.0,488.0
score,mean,0.3159209092269784,0.10345858973162231
score,std,0.3103551757310551,0.18672115041675955
score,min,2.4198629034799524e-05,1.2772496120305732e-05
score,25%,0.026611944660544395,0.0006462200690293685
score,50%,0.20195266604423523,0.011819319799542427
score,75%,0.5888911485671997,0.10615910962224007
score,max,0.9759760499000549,0.907256007194519
