sample,n,mean,std,median,q16,q25,q75,q84,iqr,half_width_68,frac_130_210,frac_150_200,frac_above_300
selected candidates (test),2221,208.30817885473635,136.6575415635632,171.8572330557773,147.2759403810229,155.1658406496607,217.91219152135753,258.3546899338446,62.74635087169682,55.53937477641085,0.6708689779378658,0.5083295812696983,0.09770373705538046
"selected, truth-matched",736,166.35537940645966,27.156052633421258,164.53770974820316,149.01210958669606,153.76359436377246,172.72698089846642,176.58786834966355,18.963386534693967,13.787879381483748,0.9402173913043478,0.7730978260869565,0.006793478260869565
"selected, fake",1485,229.1009467967779,162.06985758790583,187.72903477504204,145.92787461160765,156.43403543649018,252.14804283886562,289.82382557197303,95.71400740237544,71.94797548018269,0.5373737373737374,0.3771043771043771,0.14276094276094276
truth triplets (val),885,171.30927065884788,37.23715229302269,164.71809178624568,148.0543945888602,154.4111844930468,174.63263631769965,182.91413918946668,20.22145182465286,17.429872300303245,0.8813559322033898,0.7096045197740113,0.0192090395480226
fake triplets (val),19617,275.62119221262196,167.00278743623343,229.7115797114406,149.9995348091523,170.92832483915663,326.18111608957884,393.6119389490716,155.2527912504222,121.80620206995965,0.3398073099862364,0.22026813478105725,0.3022888311158689
all triplets (test),22021,271.018082306042,171.728472879403,224.09214887114967,148.22399395295628,166.4970673182814,319.73544999163755,387.6615961436236,153.23838267335614,119.71880109533367,0.3602470369193043,0.2395440715680487,0.2879069978656737
