,,1,2
triplet_pt,count,1733.0,488.0
triplet_pt,mean,119.74555370773942,141.31626114102662
triplet_pt,std,82.7452152355601,89.81316663543437
triplet_pt,min,0.914544403553009,4.240643501281738
triplet_pt,25%,61.16134262084961,76.65449714660645
triplet_pt,50%,102.11259460449219,125.2911376953125
triplet_pt,75%,157.37034606933594,186.71244430541992
triplet_pt,max,683.4763793945312,702.0225219726562
triplet_eta,count,1733.0,488.0
triplet_eta,mean,-0.031636133605417616,0.06302101625946396
triplet_eta,std,1.7771472242158108,1.6298077057105707
triplet_eta,min,-5.340087413787842,-4.688078880310059
triplet_eta,25%,-1.455675482749939,-1.3017164170742035
triplet_eta,50%,-0.10192105174064636,0.13359365984797478
triplet_eta,75%,1.4127858877182007,1.462135910987854
triplet_eta,max,5.801234245300293,4.998089790344238
triplet_mass,count,1733.0,488.0
triplet_mass,mean,198.52901077490628,235.95561337861858
triplet_mass,std,125.3515110934715,162.35822103483966
triplet_mass,min,72.6090316772461,62.33525466918945
triplet_mass,25%,155.4439239501953,151.14483642578125
triplet_mass,50%,170.1170654296875,182.1275634765625
triplet_mass,75%,203.07008361816406,263.3397674560547
triplet_mass,max,3782.395263671875,1538.8218994140625
score,count,1733.0,488.0
score,mean,0.3011686322238633,0.1179805370857586
score,std,0.2908016057222103,0.1937624468201746
score,min,0.0004121876263525337,0.00032645510509610176
score,25%,0.02989535592496395,0.0015894163225311786
score,50%,0.2012374848127365,0.016269962303340435
score,75%,0.5556719303131104,0.1447729393839836
score,max,0.9545906186103821,0.8422296047210693
is_truth,count,1733.0,488.0
is_truth,mean,0.36237738026543564,0.1987704918032787
is_truth,std,0.4808257699128673,0.3994844272151761
is_truth,min,0.0,0.0
is_truth,25%,0.0,0.0
is_truth,50%,0.0,0.0
is_truth,75%,1.0,0.0
is_truth,max,1.0,1.0
