n_genjet,efficiency,stat_err
3,1.0,0.0
4,0.844311377245509,0.028055726784117264
5,0.7447698744769874,0.02820188044922657
6,0.7887931034482759,0.02679733512554301
7,0.7469135802469136,0.034159546131519745
8,0.78125,0.051674830294230284
9,0.42857142857142855,0.10798984943120778
