event_id,run_number,event_number,sample,process,is_data,is_signal,m_gammagamma,diphoton_ti,diphoton_nti,photon1_pt,photon2_pt,n_leptons,n_jets,n_central_jets,n_forward_jets,n_bjets,ht_jets,leading_jet_pt,min_dr_gam_jet,passes_hadronic_preselection,preselection_channel,sm_mc_weight_36fb,event_weight,observed_data_weight,partition,nti_continuum_proxy_weight,significance_model_weight_36fb,training_role,target,mixture_weight,bdt_fit_weight,bdt_score
284500:2122689:ggH,284500,2122689,ggH,ggH,False,False,126.37988,True,False,83.37018,28.97542,0,4,4,0,1,239.8879,109.858284,0.75255,True,hadronic,0.01850443606253903,0.01850443606253903,0.0,train,0.0,0.01850443606253903,background_resonant_ggH,0,0.01850443606253903,0.0002126680809157863,0.5872294131005525
284500:2125487:ggH,284500,2125487,ggH,ggH,False,False,125.88583,True,False,102.775475,49.347675,0,4,4,0,1,219.2982,79.5247,1.0208389,True,hadronic,0.018931299797461842,0.018931299797461842,0.0,train,0.0,0.018931299797461842,background_resonant_ggH,0,0.018931299797461842,0.0002175739473259688,0.5306521412875791
284500:3101408:ggH,284500,3101408,ggH,ggH,False,False,126.77702,True,False,101.89117,59.831932,0,4,4,0,1,267.70175,113.62986,1.3236765,True,hadronic,0.019943346898294557,0.019943346898294557,0.0,train,0.0,0.019943346898294557,background_resonant_ggH,0,0.019943346898294557,0.00022920521855212614,0.6322986438744095
284500:3098308:ggH,284500,3098308,ggH,ggH,False,False,124.748566,True,False,128.7435,65.97611,0,4,4,0,1,187.32043,89.09593,1.655055,True,hadronic,0.024176347351809915,0.024176347351809915,0.0,train,0.0,0.024176347351809915,background_resonant_ggH,0,0.024176347351809915,0.0002778543143647355,0.4145738231284889
284500:3103133:ggH,284500,3103133,ggH,ggH,False,False,125.22263,True,False,175.79654,63.27135,0,3,3,0,1,291.32944,111.38027,1.2148175,True,hadronic,0.022752386669075676,0.022752386669075676,0.0,train,0.0,0.022752386669075676,background_resonant_ggH,0,0.022752386669075676,0.00026148899608790973,0.4718386686864172
284500:3099805:ggH,284500,3099805,ggH,ggH,False,False,124.4828,True,False,208.37387,44.25948,0,4,4,0,1,369.76187,241.38327,2.3893645,True,hadronic,0.026989520421211374,0.026989520421211374,0.0,train,0.0,0.026989520421211374,background_resonant_ggH,0,0.026989520421211374,0.000310185595141497,0.49836315905227835
284500:3116149:ggH,284500,3116149,ggH,ggH,False,False,123.630486,True,False,138.84007,59.216763,0,3,3,0,1,231.24231,114.18342,1.8371421,True,hadronic,0.012794818845940518,0.012794818845940518,0.0,train,0.0,0.012794818845940518,background_resonant_ggH,0,0.012794818845940518,0.00014704850017774307,0.4311088377379309
284500:3115789:ggH,284500,3115789,ggH,ggH,False,False,124.8543,True,False,51.919376,35.284397,0,3,3,0,2,299.87115,151.07336,0.6073948,True,hadronic,0.02061797746688376,0.02061797746688376,0.0,train,0.0,0.02061797746688376,background_resonant_ggH,0,0.02061797746688376,0.00023695862362019206,0.5242016724862253
284500:3119679:ggH,284500,3119679,ggH,ggH,False,False,125.93525,True,False,143.81955,55.272472,0,3,3,0,1,218.53381,117.10105,2.3099535,True,hadronic,0.022017114534849155,0.022017114534849155,0.0,train,0.0,0.022017114534849155,background_resonant_ggH,0,0.022017114534849155,0.0002530386486572541,0.40628608251361975
284500:3160556:ggH,284500,3160556,ggH,ggH,False,False,125.238785,True,False,167.08362,140.334,0,3,3,0,1,264.56787,167.88025,0.91823703,True,hadronic,0.018639842687110886,0.018639842687110886,0.0,train,0.0,0.018639842687110886,background_resonant_ggH,0,0.018639842687110886,0.00021422428435228434,0.45923255698568055
284500:3130804:ggH,284500,3130804,ggH,ggH,False,False,123.178474,True,False,123.75947,106.26735,0,3,3,0,1,331.52826,189.67892,2.173107,True,hadronic,0.021669533899687097,0.021669533899687097,0.0,train,0.0,0.021669533899687097,background_resonant_ggH,0,0.021669533899687097,0.0002490439683333803,0.4707569837730021
284500:3129760:ggH,284500,3129760,ggH,ggH,False,False,126.18374,True,False,65.57615,60.43314,0,3,3,0,1,81.42279,28.849867,0.53295,True,hadronic,0.03017484283394294,0.03017484283394294,0.0,train,0.0,0.03017484283394294,background_resonant_ggH,0,0.03017484283394294,0.0003467939198872074,0.3710165054160368
284500:3160424:ggH,284500,3160424,ggH,ggH,False,False,125.91673,True,False,95.87334,52.60029,0,4,4,0,1,171.45059,66.83463,0.62113965,True,hadronic,0.020830864977725717,0.020830864977725717,0.0,train,0.0,0.020830864977725717,background_resonant_ggH,0,0.020830864977725717,0.00023940530063475682,0.40559605765934914
284500:3161940:ggH,284500,3161940,ggH,ggH,False,False,126.17644,True,False,137.33124,29.672855,0,3,3,0,1,108.23174,47.02718,0.7561552,True,hadronic,0.012236656770867044,0.012236656770867044,0.0,train,0.0,0.012236656770867044,background_resonant_ggH,0,0.012236656770867044,0.00014063364608844957,0.3710165054160368
284500:3324666:ggH,284500,3324666,ggH,ggH,False,False,123.950935,True,False,96.971855,36.935314,0,3,3,0,1,314.37982,164.70474,0.99289453,True,hadronic,0.01807230386081571,0.01807230386081571,0.0,train,0.0,0.01807230386081571,background_resonant_ggH,0,0.01807230386081571,0.00020770166498547548,0.4707569837730021
284500:3328543:ggH,284500,3328543,ggH,ggH,False,False,124.911514,True,False,57.362404,46.691887,0,3,3,0,1,94.17707,31.576204,1.9031276,True,hadronic,0.02820823840882277,0.02820823840882277,0.0,train,0.0,0.02820823840882277,background_resonant_ggH,0,0.02820823840882277,0.00032419209686502485,0.3710165054160368
