category,kept,is_catch_all,n_hadronic_rows,signal_ttH_tH_yield,resonant_higgs_bkg_yield,nti_continuum_bkg_yield,total_background_yield,total_model_yield,S_over_B,S_over_sqrtB,expected_counting_significance,signal_raw_rows,resonant_raw_rows,nti_proxy_raw_rows,observed_ti_sideband_rows,observed_ti_signal_window
ttH_had_BDT1,True,False,9778,1.4833971556779126,0.3142374227115658,0.6201281361006258,0.9343655588121915,2.417762714490104,1.5875982817299852,1.5346135590035042,1.2769046410208222,4572,115,196,4,BLINDED
ttH_had_BDT2,True,False,17978,2.1986071823931996,0.5927960515687745,3.287311905145664,3.8801079567144385,6.078715139107638,0.5666355696594885,1.116158157813136,1.0298666499797124,6926,317,1039,36,BLINDED
ttH_had_BDT3,True,False,27736,2.504402937229864,1.8857994314084305,13.927571709770174,15.813371141178605,18.31777407840847,0.15837248837525264,0.6297845068460999,0.6141706648823082,7850,901,4402,144,BLINDED
tH_had_4j1b,True,False,4176,0.1818757869548837,0.14230887464122033,4.666780616063382,4.8090894907046025,4.990965277659486,0.037819172902984644,0.08293607076364992,0.08242137784544228,709,89,1475,43,BLINDED
unassigned,False,True,20917,6.796669922612878,2.4343537291821478,31.31330695401986,33.74766068320201,40.544330605814885,0.20139677195450587,1.1699689664493307,1.1336672894489837,21679,1009,9897,324,BLINDED
